0,1,2,3,4,5
201801,66,아주 멀지 않은 날에,멜로망스,20세기 소년소녀 OST Part.6,"발라드, 국내드라마"
201801,67,사랑해요,김범수,함부로 애틋하게 OST Part.9,"발라드, 국내드라마"
201801,68,꿈만 같아,박보람,슬기로운 감빵생활 OST Part.3,"발라드, 국내드라마"
201801,69,우리라는 세상,이석훈,고백부부 OST Part.5,"발라드, 국내드라마"
201801,70,질투하나봐,민서,저글러스 OST Part.3,"발라드, 국내드라마"
201801,71,말해! 뭐해?,케이윌,태양의 후예 OST Part.6,"발라드, 국내드라마"
201801,72,사랑의 시작은 고백에서부터,김범수,프로듀사 OST,"발라드, 국내드라마"
201801,73,꼭 너여야 해,봉구,사랑의 온도 OST Part.4,"발라드, 국내드라마"
201801,74,잊지 말아요,백지영,아이리스 OST (Part 1),발라드
201801,75,마음의 말,김연지,로봇이 아니야 OST Part.3,"발라드, 국내드라마"
201801,76,Another Day Of Sun,La La Land Cast,라라 랜드 OST,국외영화
201801,77,사랑하자,SG 워너비,태양의 후예 OST Part.8,"발라드, 국내드라마"
201801,78,우연히 봄,로꼬,냄새를 보는 소녀 OST Part.2,"발라드, 랩/힙합, 국내드라마"
201801,79,When I Saw You,범키,화유기 OST Part.2,"R&B/Soul, 국내드라마"
201801,80,만약에,태연 (TAEYEON),쾌도 홍길동 OST,"발라드, 국내드라마"
201801,81,Perhaps Love (사랑인가요),하울,궁 OST,"발라드, 국내드라마"
201801,82,눈꽃,거미,"그 겨울, 바람이 분다 OST Part.3","발라드, 국내드라마"
201801,83,내 눈에만 보여,10cm,도깨비 OST Part.2,"포크/블루스, 국내드라마"
201801,84,아프다,지코 (ZICO),가면 OST Part.2,"발라드, 랩/힙합, 국내드라마"
201801,85,그런데 말야,구윤회,투깝스 OST Part.5,"발라드, 국내드라마"
201801,86,넌 그렇게 그날 내게로,이시은,그냥 사랑하는 사이 OST Part.4,"발라드, 국내드라마"
201801,87,Hush,Lasse Lindh,도깨비 OST Part.3,국내드라마
201801,88,괜찮아,바로,슬기로운 감빵생활 OST Part.7,"댄스, 국내드라마"
201801,89,How Long Will I Love You,Ellie Goulding,어바웃타임 OST,"록/메탈, 국외영화"
201801,90,함께,노을,응답하라 1988 OST Part.7,"발라드, 국내드라마"
201801,91,좋겠다,로이킴,당신이 잠든 사이에 OST Part.3,"록/메탈, 국내드라마"
201801,92,너를 위해,첸 (CHEN),달의 연인 - 보보경심 려 OST Part 1,"발라드, R&B/Soul, 국내드라마"
201801,93,A Million Dreams (Reprise),Austyn Johnson,위대한 쇼맨 (The Greatest Showman) OST,국외영화
201801,94,시간을 거슬러,린,해를 품은 달 OST,발라드
201801,95,나이기를,마크툽 (MAKTUB),흑기사 OST Part.1,"발라드, 국내드라마"
201801,96,안갯길 (Prod. By 진영(B1A4)),벤,구르미 그린 달빛 OST Part.4,"발라드, 국내드라마"
201801,97,Falling Slowly,Glen Hansard & Marketa Irglova,원스 (Once) OST,국외영화
201801,98,IF,정준일,당신이 잠든 사이에 OST Part.10,"발라드, 국내드라마"
201801,99,겨울사랑,The One (더원),"그 겨울, 바람이 분다 OST Part.2","발라드, 국내드라마"
201801,100,Everytime,첸 (CHEN),태양의 후예 OST Part.2,"발라드, 국내드라마"
201802,1,첫눈처럼 너에게 가겠다,에일리,도깨비 OST Part.9,"발라드, 국내드라마"
201802,2,짙어져,멜로망스,Yellow OST Part.2,"록/메탈, 국내드라마"
201802,3,좋았을걸,헤이즈 (Heize),슬기로운 감빵생활 OST Part.5,"발라드, 국내드라마"
201802,4,처음부터 너와 나,볼빨간사춘기,군주 - 가면의 주인 OST Part.2,"발라드, 국내드라마"
201802,5,하루 일과,Zion.T,슬기로운 감빵생활 OST Part.9,"R&B/Soul, 국내드라마"
201802,6,This Is Me,Keala Settle,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201802,7,너였다면,정승환,또 오해영 OST Part.5,"발라드, 국내드라마"
201802,8,Beautiful,Crush,도깨비 OST Part 4,"발라드, R&B/Soul, 국내드라마"
201802,9,My Way,이수 (엠씨 더 맥스),돈꽃 OST Part.1,"발라드, 국내드라마"
201802,10,갈 수가 없어,벤,이번 생은 처음이라 OST Part.8,"발라드, 국내드라마"
201802,11,결혼,문문 (MoonMoon),이번 생은 처음이라 OST Part.4,"발라드, 국내드라마"
201802,12,See You Again (폴 워커 추모 엔딩곡),Charlie Puth,분노의 질주: 더 세븐 OST,"랩/힙합, 국외영화"
201802,13,Never Enough,Loren Allred,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201802,14,눈의 꽃,박효신,미안하다 사랑한다 OST,국내드라마
201802,15,첫 눈,정준일,도깨비 OST Part.8,"발라드, 국내드라마"
201802,16,Rewrite The Stars,Zac Efron,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201802,17,다시 사랑하자 우리,먼데이 키즈 (Monday Kiz),애간장 OST Part.1,"발라드, 국내드라마"
201802,18,The Greatest Show,Hugh Jackman,위대한 쇼맨 (The Greatest Showman) OST,국외영화
201802,19,When I Saw You,범키,화유기 OST Part.2,"R&B/Soul, 국내드라마"
201802,20,Stay With Me,찬열 (CHANYEOL),도깨비 OST Part.1,"발라드, 랩/힙합, 국내드라마"
201802,21,You Are My Everything,거미,태양의 후예 OST Part.4,"발라드, 국내드라마"
201802,22,걱정말아요 그대,이적,응답하라 1988 OST Part.2,"발라드, 국내드라마"
201802,23,"City Of Stars (From ""La La Land"" Soundtrack)",Ryan Gosling,라라 랜드 OST,"POP, 국외영화"
201802,24,Lost Stars,Adam Levine,Begin Again - Music From And Inspired By The Original Motion Picture,"POP, 록/메탈, 국외영화"
201802,25,The Other Side,Hugh Jackman,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201802,26,Let Me Out,뉴이스트 W,화유기 OST Part.1,"댄스, 국내드라마"
201802,27,바람의 노래,소향,고백부부 OST Part.2,"발라드, 국내드라마"
201802,28,I Miss You,소유 (SOYOU),도깨비 OST Part.7,"발라드, 국내드라마"
201802,29,이 사랑,다비치,태양의 후예 OST Part.3,"발라드, 국내드라마"
201802,30,A Million Dreams,Ziv Zaifman,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201802,31,소녀,오혁,응답하라 1988 OST Part.3,"발라드, 국내드라마"
201802,32,"Bravo, My Life!",에릭남 (Eric Nam),슬기로운 감빵생활 OST Part.4,"발라드, R&B/Soul, 국내드라마"
201802,33,향수 (Prod. by WOOGIE),우원재,슬기로운 감빵생활 OST Part.6,"랩/힙합, 국내드라마"
201802,34,"묘해, 너와",어쿠스틱 콜라보,연애의 발견 OST Part 4,"발라드, 국내드라마"
201802,35,바라보기,엠씨더맥스,미녀의 탄생 OST Part 4,"발라드, 국내드라마"
201802,36,기다릴게,하동균,공주의 남자 OST Part.3,"발라드, 국내드라마"
201802,37,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,"발라드, 국내드라마"
201802,38,OK (Prod. by GRAY),BewhY (비와이),슬기로운 감빵생활 OST Part.1,"랩/힙합, 국내드라마"
201802,39,꿈처럼,벤,또 오해영 OST Part.2,"발라드, 국내드라마"
201802,40,오늘도 그리워 그리워,다비치,당신이 잠든 사이에 OST Part.7,"발라드, 국내드라마"
201802,41,Come Alive,Hugh Jackman,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201802,42,그림자,휘인 (Whee In),Yellow OST Part.1,"발라드, 국내드라마"
201802,43,이쁘다니까,에디킴,도깨비 OST Part.5,"발라드, 국내드라마"
201802,44,꽃비,폴킴,흑기사 OST Part.4,"발라드, 국내드라마"
201802,45,From Now On,Hugh Jackman,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201802,46,Who Are You,샘김 (Sam Kim),도깨비 OST Part.6,"발라드, 국내드라마"
201802,47,With You,길구봉구,흑기사 OST Part.5,"발라드, 국내드라마"
201802,48,문 (Prod. by ZICO),강승윤,슬기로운 감빵생활 OST Part.2,"랩/힙합, 국내드라마"
201802,49,도시의 천사들,심규선 (Lucia),저글러스 OST Part.6,"발라드, 국내드라마"
201802,50,Healing (Feat. 버블디아),이석훈,돈꽃 OST Part.3,"발라드, 국내드라마"
201802,51,있잖아,폴킴,연애플레이리스트2 OST Part.2,"발라드, 국내드라마"
201802,52,너무 보고싶어,어쿠스틱 콜라보,연애의 발견 OST Part 6,"발라드, 국내드라마"
201802,53,태엽시계,효린,흑기사 OST Part.3,"발라드, 국내드라마"
201802,54,있어줘,이창민,그냥 사랑하는 사이 OST Part.5,"발라드, 국내드라마"
201802,55,미로,김나영,당신이 잠든 사이에 OST Part.8,"발라드, 국내드라마"
201802,56,사랑하고 싶게 돼,멜로망스,이번 생은 처음이라 OST Part.3,"발라드, 국내드라마"
201802,57,I Love You Boy,수지 (SUZY),당신이 잠든 사이에 OST Part.4,"발라드, 국내드라마"
201802,58,응급실,Izi,쾌걸춘향 OST,"발라드, 국내드라마"
201802,59,Tightrope,Michelle Williams,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201802,60,우울해하지 말아요 (Prod. 공기남),울랄라세션,막돼먹은 영애씨 시즌16 OST Part.12,"발라드, 국내드라마"
201802,61,구르미 그린 달빛,거미,구르미 그린 달빛 OST Part.3,"발라드, 국내드라마"
201802,62,네 옆에 있을게,멜로망스,화유기 OST Part.3,"발라드, 국내드라마"
201802,63,All For You,서인국,응답하라 1997 Love Story Part 1,발라드
201802,64,긴 밤이 오면,에디킴,당신이 잠든 사이에 OST Part.1,"록/메탈, 국내드라마"
201802,65,꿈만 같아,박보람,슬기로운 감빵생활 OST Part.3,"발라드, 국내드라마"
201802,66,ALWAYS,윤미래,태양의 후예 OST Part.1,"발라드, 국내드라마"
201802,67,그럴걸,김나영,연애플레이리스트2 OST Part.3,"발라드, 국내드라마"
201802,68,외투,임정희,투깝스 OST Part.6,"발라드, 국내드라마"
201802,69,그 남잔 말야,엠씨더맥스,냄새를 보는 소녀 OST Part.5,"발라드, 국내드라마"
201802,70,사랑해요,김범수,함부로 애틋하게 OST Part.9,"발라드, 국내드라마"
201802,71,소원,어반자카파,도깨비 OST Part.10,"발라드, 국내드라마"
201802,72,사랑의 시작은 고백에서부터,김범수,프로듀사 OST,"발라드, 국내드라마"
201802,73,청춘 (Feat. 김창완),김필,응답하라 1988 OST Part.1,"포크/블루스, 국내드라마"
201802,74,말해! 뭐해?,케이윌,태양의 후예 OST Part.6,"발라드, 국내드라마"
201802,75,애기애기해,유권 (블락비),저글러스 OST Part.5,"발라드, 국내드라마"
201802,76,사랑하자,SG 워너비,태양의 후예 OST Part.8,"발라드, 국내드라마"
201802,77,잊지 말아요,백지영,아이리스 OST (Part 1),발라드
201802,78,아주 멀지 않은 날에,멜로망스,20세기 소년소녀 OST Part.6,"발라드, 국내드라마"
201802,79,우연히 봄,로꼬,냄새를 보는 소녀 OST Part.2,"발라드, 랩/힙합, 국내드라마"
201802,80,눈꽃,거미,"그 겨울, 바람이 분다 OST Part.3","발라드, 국내드라마"
201802,81,우리라는 세상,이석훈,고백부부 OST Part.5,"발라드, 국내드라마"
201802,82,만약에,태연 (TAEYEON),쾌도 홍길동 OST,"발라드, 국내드라마"
201802,83,듣고 싶은 말,수지 (SUZY),당신이 잠든 사이에 OST Part.13,"발라드, 국내드라마"
201802,84,내 눈에만 보여,10cm,도깨비 OST Part.2,"포크/블루스, 국내드라마"
201802,85,꼭 너여야 해,봉구,사랑의 온도 OST Part.4,"발라드, 국내드라마"
201802,86,Another Day Of Sun,La La Land Cast,라라 랜드 OST,국외영화
201802,87,Perhaps Love (사랑인가요),하울,궁 OST,"발라드, 국내드라마"
201802,88,여기 서 있어,JUNIEL,로봇이 아니야 OST Part.5,"발라드, 국내드라마"
201802,89,Angel,거미,세상에서 가장 아름다운 이별 OST,"발라드, 국내드라마"
201802,90,아프다,지코 (ZICO),가면 OST Part.2,"발라드, 랩/힙합, 국내드라마"
201802,91,Hush,Lasse Lindh,도깨비 OST Part.3,국내드라마
201802,92,질투하나봐,민서,저글러스 OST Part.3,"발라드, 국내드라마"
201802,93,Other World,산들,나쁜녀석들 : 악의 도시 OST Part.3,"발라드, 국내드라마"
201802,94,How Long Will I Love You,Ellie Goulding,어바웃타임 OST,"록/메탈, 국외영화"
201802,95,마음의 말,김연지,로봇이 아니야 OST Part.3,"발라드, 국내드라마"
201802,96,함께,노을,응답하라 1988 OST Part.7,"발라드, 국내드라마"
201802,97,너를 위해,첸 (CHEN),달의 연인 - 보보경심 려 OST Part 1,"발라드, R&B/Soul, 국내드라마"
201802,98,Let It Go,Idina Menzel,겨울왕국 OST,"POP, 애니메이션/웹툰, 키즈, 만화"
201802,99,시간을 거슬러,린,해를 품은 달 OST,발라드
201802,100,Everytime,첸 (CHEN),태양의 후예 OST Part.2,"발라드, 국내드라마"
201803,1,첫눈처럼 너에게 가겠다,에일리,도깨비 OST Part.9,"발라드, 국내드라마"
201803,2,짙어져,멜로망스,Yellow OST Part.2,"록/메탈, 국내드라마"
201803,3,처음부터 너와 나,볼빨간사춘기,군주 - 가면의 주인 OST Part.2,"발라드, 국내드라마"
201803,4,좋았을걸,헤이즈 (Heize),슬기로운 감빵생활 OST Part.5,"발라드, 국내드라마"
201803,5,하루 일과,Zion.T,슬기로운 감빵생활 OST Part.9,"R&B/Soul, 국내드라마"
201803,6,My Way,이수 (엠씨 더 맥스),돈꽃 OST Part.1,"발라드, 국내드라마"
201803,7,This Is Me,Keala Settle,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201803,8,너였다면,정승환,또 오해영 OST Part.5,"발라드, 국내드라마"
201803,9,Beautiful,Crush,도깨비 OST Part 4,"발라드, R&B/Soul, 국내드라마"
201803,10,네 옆에 있을게,멜로망스,화유기 OST Part.3,"발라드, 국내드라마"
201803,11,갈 수가 없어,벤,이번 생은 처음이라 OST Part.8,"발라드, 국내드라마"
201803,12,See You Again (폴 워커 추모 엔딩곡),Charlie Puth,분노의 질주: 더 세븐 OST,"랩/힙합, 국외영화"
201803,13,결혼,문문 (MoonMoon),이번 생은 처음이라 OST Part.4,"발라드, 국내드라마"
