yyyyWW,Rank,Title,Artist,Album,Genre
20191,52,Bohemian Rhapsody (Live Aid),Queen,영화 보헤미안 랩소디 OST (Bohemian Rhapsody OST),"록/메탈, 국외영화"
201948,52,"Home (From ""Frozen 2""/Outtake)",Kristen Bell,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition)/ 겨울왕국 2 OST,"포크, 애니메이션/웹툰, 키즈, 만화"
201948,54,"변치 않는 건 (""겨울왕국 2"")",박지윤,겨울왕국 2 (한국어 버전),"애니메이션/웹툰, 키즈, 만화"
201902,55,Love Of My Life (Live At Rock In Rio),Queen,영화 보헤미안 랩소디 OST (Bohemian Rhapsody OST),"POP, 국외영화"
201948,59,"All Is Found (Lullaby Ending) (From ""Frozen 2""/Outtake)",Evan Rachel Wood,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition)/ 겨울왕국 2 OST,"포크, 애니메이션/웹툰, 키즈, 만화"
201948,62,"어른이 된다는 건 (""겨울왕국 2"")",이장원,겨울왕국 2 (한국어 버전),"애니메이션/웹툰, 키즈, 만화"
201848,63,I Want To Break Free,Queen,영화 보헤미안 랩소디 OST (Bohemian Rhapsody?OST),"록/메탈, 국외영화"
201948,64,"I Seek the Truth (From ""Frozen 2""/Outtake)",Kristen Anderson-Lopez,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition)/ 겨울왕국 2 OST,"POP, 애니메이션/웹툰, 키즈, 만화"
201848,64,Keep Yourself Alive?(Live At The Rainbow),Queen,영화 보헤미안 랩소디 OST (Bohemian Rhapsody?OST),"록/메탈, 국외영화"
201948,67,"사랑이란 숲에서 길을 잃다 (""겨울왕국 2"")",정상윤,겨울왕국 2 (한국어 버전),"애니메이션/웹툰, 키즈, 만화"
201848,68,Doing All Right?(...Revisited),Queen,영화 보헤미안 랩소디 OST (Bohemian Rhapsody?OST),"록/메탈, 국외영화"
201849,69,Under Pressure?(feat. David Bowie)?(Remastered),Queen,영화 보헤미안 랩소디 OST (Bohemian Rhapsody?OST),"록/메탈, 국외영화"
201902,78,Ay-Oh (Live Aid),Queen,영화 보헤미안 랩소디 OST (Bohemian Rhapsody OST),국외영화
201948,80,"순록이 사람보다 낫지 (Cont.) (""겨울왕국 2"")",정상윤,겨울왕국 2 (한국어 버전),"애니메이션/웹툰, 키즈, 만화"
201902,80,We Will Rock You (Movie Mix),Queen,영화 보헤미안 랩소디 OST (Bohemian Rhapsody OST),"록/메탈, 국외영화"
201848,80,Now I`m Here?(Live At The Hammersmith Odeon),Queen,영화 보헤미안 랩소디 OST (Bohemian Rhapsody?OST),"록/메탈, 국외영화"
20191,81,We Are The Champions (Live Aid),Queen,영화 보헤미안 랩소디 OST (Bohemian Rhapsody OST),"록/메탈, 국외영화"
201948,82,"해야 할 일 (""겨울왕국 2"")",박지윤,겨울왕국 2 (한국어 버전),"애니메이션/웹툰, 키즈, 만화"
201848,84,Crazy Little Thing Called Love,Queen,영화 보헤미안 랩소디 OST (Bohemian Rhapsody?OST),"록/메탈, 국외영화"
201848,88,Fat Bottomed Girls?(Live In Paris),Queen,영화 보헤미안 랩소디 OST (Bohemian Rhapsody?OST),"록/메탈, 국외영화"
201948,90,"Get This Right (From ""Frozen 2""/Outtake)",Jonathan Groff,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition)/ 겨울왕국 2 OST,"POP, 애니메이션/웹툰, 키즈, 만화"
201848,91,The Show Must Go On,Queen,영화 보헤미안 랩소디 OST (Bohemian Rhapsody?OST),"록/메탈, 국외영화"
201848,97,Who Wants To Live Forever,Queen,영화 보헤미안 랩소디 OST (Bohemian Rhapsody?OST),"록/메탈, 국외영화"
201925,100,One Jump Ahead (Reprise),Mena Massoud,Aladdin (Original Motion Picture Soundtrack)/영화 알라딘 OST,국외영화
