yyyyWW,Rank,Title,Artist,Album,Genre
201922,4,Speechless (Full),Naomi Scott,Aladdin (Original Motion Picture Soundtrack)/영화 알라딘 OST,"POP, 국외영화"
201922,6,A Whole New World,Mena Massoud,Aladdin (Original Motion Picture Soundtrack)/영화 알라딘 OST,"POP, 국외영화"
201922,20,Arabian Nights (2019),Will Smith,Aladdin (Original Motion Picture Soundtrack)/영화 알라딘 OST,"POP, 국외영화"
201922,29,Prince Ali,Will Smith,Aladdin (Original Motion Picture Soundtrack)/영화 알라딘 OST,"POP, 국외영화"
201922,38,Friend Like Me,Will Smith,Aladdin (Original Motion Picture Soundtrack)/영화 알라딘 OST,"POP, 국외영화"
201922,71,Friend Like Me (End Title) (Feat. DJ Khaled),Will Smith,Aladdin (Original Motion Picture Soundtrack)/영화 알라딘 OST,"랩/힙합, 국외영화"
201922,80,Speechless (Part 2),Naomi Scott,Aladdin (Original Motion Picture Soundtrack)/영화 알라딘 OST,"POP, 국외영화"
201922,83,One Jump Ahead,Mena Massoud,Aladdin (Original Motion Picture Soundtrack)/영화 알라딘 OST,"POP, 국외영화"
201922,96,A Whole New World (End Title),ZAYN,Aladdin (Original Motion Picture Soundtrack)/영화 알라딘 OST,"POP, 국외영화"
201923,2,Speechless (Full),Naomi Scott,Aladdin (Original Motion Picture Soundtrack)/영화 알라딘 OST,"POP, 국외영화"
201923,4,A Whole New World,Mena Massoud,Aladdin (Original Motion Picture Soundtrack)/영화 알라딘 OST,"POP, 국외영화"
201923,8,Arabian Nights (2019),Will Smith,Aladdin (Original Motion Picture Soundtrack)/영화 알라딘 OST,"POP, 국외영화"
201923,12,Prince Ali,Will Smith,Aladdin (Original Motion Picture Soundtrack)/영화 알라딘 OST,"POP, 국외영화"
201923,16,Friend Like Me,Will Smith,Aladdin (Original Motion Picture Soundtrack)/영화 알라딘 OST,"POP, 국외영화"
201923,35,One Jump Ahead,Mena Massoud,Aladdin (Original Motion Picture Soundtrack)/영화 알라딘 OST,"POP, 국외영화"
201923,39,Speechless (Part 2),Naomi Scott,Aladdin (Original Motion Picture Soundtrack)/영화 알라딘 OST,"POP, 국외영화"
201923,46,Friend Like Me (End Title) (Feat. DJ Khaled),Will Smith,Aladdin (Original Motion Picture Soundtrack)/영화 알라딘 OST,"랩/힙합, 국외영화"
201923,78,A Whole New World (End Title),ZAYN,Aladdin (Original Motion Picture Soundtrack)/영화 알라딘 OST,"POP, 국외영화"
201923,89,Speechless (Part 1),Naomi Scott,Aladdin (Original Motion Picture Soundtrack)/영화 알라딘 OST,"POP, 국외영화"
201924,1,Speechless (Full),Naomi Scott,Aladdin (Original Motion Picture Soundtrack)/영화 알라딘 OST,"POP, 국외영화"
