yyyyWW,Date,Rank,Title,Code,OpenDate,Weekly,Total,Genre
201805,20180129~20180204,6,신과함께-죄와 벌,20150976,2017-12-20,247988,14196197,"[{'genreNm': '판타지'}, {'genreNm': '드라마'}]"
201805,20180129~20180204,7,1987,20170590,2017-12-27,149471,7175404,[{'genreNm': '드라마'}]
201805,20180129~20180204,8,12 솔져스,20178395,2018-01-31,129028,129738,"[{'genreNm': '액션'}, {'genreNm': '드라마'}, {'genreNm': '전쟁'}]"
201805,20180129~20180204,9,커뮤터,20178230,2018-01-24,54267,277445,[{'genreNm': '액션'}]
201805,20180129~20180204,10,마야2,20179228,2018-02-01,53660,55214,[{'genreNm': '애니메이션'}]
201806,20180205~20180211,1,조선명탐정: 흡혈괴마의 비밀,20179205,2018-02-08,935036,965445,"[{'genreNm': '사극'}, {'genreNm': '어드벤처'}, {'genreNm': '코미디'}]"
201806,20180205~20180211,2,그것만이 내 세상,20176104,2018-01-17,428622,3220668,"[{'genreNm': '코미디'}, {'genreNm': '드라마'}]"
201806,20180205~20180211,3,코코,20179985,2018-01-11,247543,3295147,[{'genreNm': '애니메이션'}]
201806,20180205~20180211,4,인시디어스4: 라스트 키,20178126,2018-01-31,157186,520410,"[{'genreNm': '공포(호러)'}, {'genreNm': '미스터리'}, {'genreNm': '스릴러'}]"
201806,20180205~20180211,5,신과함께-죄와 벌,20150976,2017-12-20,137752,14333949,"[{'genreNm': '판타지'}, {'genreNm': '드라마'}]"
201806,20180205~20180211,6,염력,20168323,2018-01-31,131150,978127,"[{'genreNm': '드라마'}, {'genreNm': '코미디'}]"
201806,20180205~20180211,7,패딩턴 2,20178672,2018-02-08,120300,126182,"[{'genreNm': '코미디'}, {'genreNm': '드라마'}]"
201806,20180205~20180211,8,메이즈 러너: 데스 큐어,20175054,2018-01-17,79089,2285434,"[{'genreNm': '액션'}, {'genreNm': 'SF'}, {'genreNm': '스릴러'}]"
201806,20180205~20180211,9,12 솔져스,20178395,2018-01-31,75913,205651,"[{'genreNm': '액션'}, {'genreNm': '드라마'}, {'genreNm': '전쟁'}]"
201806,20180205~20180211,10,1987,20170590,2017-12-27,42827,7218231,[{'genreNm': '드라마'}]
201807,20180212~20180218,1,블랙 팬서,20170561,2018-02-14,3095924,3097703,"[{'genreNm': '액션'}, {'genreNm': '드라마'}, {'genreNm': 'SF'}]"
201807,20180212~20180218,2,조선명탐정: 흡혈괴마의 비밀,20179205,2018-02-08,1110555,2076000,"[{'genreNm': '사극'}, {'genreNm': '어드벤처'}, {'genreNm': '코미디'}]"
201807,20180212~20180218,3,골든슬럼버,20168250,2018-02-14,976986,982631,"[{'genreNm': '범죄'}, {'genreNm': '드라마'}]"
201807,20180212~20180218,4,흥부: 글로 세상을 바꾼 자,20176121,2018-02-14,320751,322332,[{'genreNm': '사극'}]
